 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Ago/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210340 Coelho Neto";162;166;194628,68;154328,24;-;-;40300,44;-;-;1172,46;1201,41;1006;6,2;6;3,70
"210350 Colinas";253;254;257405,97;201091,27;-;-;56314,70;-;-;1013,41;1017,41;1020;4,0;9;3,56
"210355 Conceição do Lago-Açu";36;36;21649,57;15875,72;-;-;5773,85;-;-;601,38;601,38;96;2,7;-;-
"210360 Coroatá";180;182;272345,86;220541,24;-;-;51804,62;-;-;1496,41;1513,03;992;5,5;8;4,44
"210370 Cururupu";144;145;149567,32;122452,84;-;-;27114,48;-;-;1031,50;1038,66;719;5,0;3;2,08
"210375 Davinópolis";41;41;115300,60;87711,60;-;-;27589,00;-;-;2812,21;2812,21;323;7,9;3;7,32
"210380 Dom Pedro";194;195;139796,98;112499,31;-;-;27297,67;-;-;716,91;720,60;690;3,6;2;1,03
"210390 Duque Bacelar";31;31;60239,41;48454,46;-;-;11784,95;-;-;1943,21;1943,21;133;4,3;3;9,68
"210400 Esperantinópolis";156;157;136390,11;111727,73;-;-;24662,38;-;-;868,73;874,30;726;4,7;3;1,92
"210405 Estreito";168;168;157496,84;125873,58;-;-;31623,26;-;-;937,48;937,48;646;3,8;-;-
"210407 Feira Nova do Maranhão";72;72;62983,31;49889,12;-;-;13094,19;-;-;874,77;874,77;308;4,3;1;1,39
"210408 Fernando Falcão";35;35;22823,89;16633,37;-;-;6190,52;-;-;652,11;652,11;76;2,2;-;-
"210409 Formosa da Serra Negra";100;101;82681,04;64354,55;-;-;18326,49;-;-;818,62;826,81;415;4,2;1;1,00
"210410 Fortaleza dos Nogueiras";76;76;29327,54;22516,15;-;-;6811,39;-;-;385,89;385,89;350;4,6;-;-
"210420 Fortuna";100;101;85347,62;67250,95;-;-;18096,67;-;-;845,03;853,48;464;4,6;3;3,00
"210430 Godofredo Viana";34;35;23494,17;16387,06;-;-;7107,11;-;-;671,26;691,00;124;3,6;1;2,94
"210440 Gonçalves Dias";104;105;55818,12;44904,68;-;-;10913,44;-;-;531,60;536,71;319;3,1;-;-
"210450 Governador Archer";73;73;28347,54;23450,73;-;-;4896,81;-;-;388,32;388,32;184;2,5;3;4,11
"210455 Governador Edison Lobão";91;91;82613,12;64503,00;-;-;18110,12;-;-;907,84;907,84;338;3,7;3;3,30
"210460 Governador Eugênio Barros";58;59;45918,86;36672,24;-;-;9246,62;-;-;778,29;791,70;212;3,7;2;3,45
"210462 Governador Luiz Rocha";51;52;38924,66;31735,43;-;-;7189,23;-;-;748,55;763,23;246;4,8;2;3,92
"210465 Governador Newton Bello";73;75;53169,80;41913,62;-;-;11256,18;-;-;708,93;728,35;290;4,0;2;2,74
"210467 Governador Nunes Freire";133;134;109748,90;84889,76;-;-;24859,14;-;-;819,02;825,18;511;3,8;6;4,51
