 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jan/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110005 Cerejeiras";165;165;78524,15;62730,75;-;-;15793,40;-;-;475,90;475,90;510;3,1;1;0,61
"110092 Chupinguaia";50;50;37149,87;29613,10;-;-;7536,77;-;-;743,00;743,00;227;4,5;2;4,00
"110006 Colorado do Oeste";90;90;55142,51;42391,90;-;-;12750,61;-;-;612,69;612,69;357;4,0;3;3,33
"110007 Corumbiara";37;37;36686,63;28885,97;-;-;7800,66;-;-;991,53;991,53;158;4,3;2;5,41
"110008 Costa Marques";54;54;32633,56;23703,60;-;-;8929,96;-;-;604,33;604,33;185;3,4;-;-
"110094 Cujubim";89;89;62808,39;51766,78;-;-;11041,61;-;-;705,71;705,71;211;2,4;3;3,37
"110009 Espigão D'Oeste";311;311;222283,93;184153,04;-;-;38130,89;-;-;714,74;714,74;1079;3,5;12;3,86
"110100 Governador Jorge Teixeira";16;16;20707,90;14587,22;-;-;6120,68;-;-;1294,24;1294,24;102;6,4;-;-
"110010 Guajará-Mirim";330;330;253594,32;198876,79;-;-;54717,53;-;-;768,47;768,47;1883;5,7;9;2,73
"110110 Itapuã do Oeste";43;43;38235,55;29173,78;-;-;9061,77;-;-;889,20;889,20;233;5,4;2;4,65
"110011 Jaru";300;300;258251,68;202124,64;-;-;56127,04;-;-;860,84;860,84;1031;3,4;13;4,33
"110012 Ji-Paraná";586;586;453254,78;348085,95;133,32;-;104862,36;-;-;773,47;773,47;2404;4,1;26;4,44
"110013 Machadinho D'Oeste";232;232;161539,37;133995,01;-;-;27544,36;-;-;696,29;696,29;891;3,8;3;1,29
"110120 Ministro Andreazza";42;42;38375,13;30100,82;-;-;8274,31;-;-;913,69;913,69;207;4,9;2;4,76
"110130 Mirante da Serra";42;42;34554,25;26682,29;-;-;7871,96;-;-;822,72;822,72;229;5,5;1;2,38
"110140 Monte Negro";59;59;59699,99;48190,97;-;-;11509,02;-;-;1011,86;1011,86;230;3,9;3;5,08
"110014 Nova Brasilândia D'Oeste";120;120;58060,42;46073,09;-;-;11987,33;-;-;483,84;483,84;421;3,5;2;1,67
"110033 Nova Mamoré";151;151;117981,81;97146,88;-;-;20834,93;-;-;781,34;781,34;858;5,7;3;1,99
"110143 Nova União";22;22;21837,79;18265,23;-;-;3572,56;-;-;992,63;992,63;103;4,7;1;4,55
"110050 Novo Horizonte do Oeste";65;65;43318,53;36694,00;-;-;6624,53;-;-;666,44;666,44;259;4,0;3;4,62
"110015 Ouro Preto do Oeste";61;61;111329,49;92686,37;-;-;18643,12;-;-;1825,07;1825,07;481;7,9;4;6,56
"110145 Parecis";30;30;38196,34;32576,44;-;-;5619,90;-;-;1273,21;1273,21;116;3,9;-;-
"110018 Pimenta Bueno";1169;1169;411211,88;335049,43;-;-;76162,45;-;-;351,76;351,76;2171;1,9;21;1,80
"110146 Pimenteiras do Oeste";12;12;14040,58;11367,93;-;-;2672,65;-;-;1170,05;1170,05;70;5,8;-;-
"110020 Porto Velho";2781;2781;3546173,29;2827118,08;-;-;719055,21;-;-;1275,14;1275,14;18699;6,7;82;2,95
"110025 Presidente Médici";90;90;57283,03;42322,37;-;-;14960,66;-;-;636,48;636,48;301;3,3;3;3,33
"110147 Primavera de Rondônia";76;76;23816,40;19928,46;-;-;3887,94;-;-;313,37;313,37;124;1,6;1;1,32
"110026 Rio Crespo";26;26;7502,99;6018,40;-;-;1484,59;-;-;288,58;288,58;69;2,7;-;-
"110028 Rolim de Moura";381;381;228518,30;183874,81;-;-;44643,49;-;-;599,79;599,79;1431;3,8;6;1,57
"110029 Santa Luzia D'Oeste";68;68;48958,13;40409,82;-;-;8548,31;-;-;719,97;719,97;259;3,8;4;5,88
"110148 São Felipe D'Oeste";27;27;12218,27;10386,81;-;-;1831,46;-;-;452,53;452,53;76;2,8;1;3,70
"110149 São Francisco do Guaporé";88;88;94431,71;74403,79;-;-;20027,92;-;-;1073,09;1073,09;348;4,0;4;4,55
"110032 São Miguel do Guaporé";138;138;115482,49;95229,87;-;-;20252,62;-;-;836,83;836,83;639;4,6;7;5,07
"110150 Seringueiras";70;70;26532,00;20746,41;-;-;5785,59;-;-;379,03;379,03;243;3,5;2;2,86
"110155 Teixeirópolis";19;19;16286,48;13649,60;-;-;2636,88;-;-;857,18;857,18;46;2,4;-;-
"110160 Theobroma";30;30;26387,10;20814,25;-;-;5572,85;-;-;879,57;879,57;101;3,4;-;-
"110170 Urupá";46;46;35173,18;28590,63;-;-;6582,55;-;-;764,63;764,63;298;6,5;1;2,17
"110175 Vale do Anari";24;24;15337,42;11068,23;-;-;4269,19;-;-;639,06;639,06;90;3,8;-;-
"110180 Vale do Paraíso";29;29;43263,68;37332,68;-;-;5931,00;-;-;1491,85;1491,85;164;5,7;1;3,45
"110030 Vilhena";828;828;513465,19;384835,77;-;-;128629,42;-;-;620,13;620,13;3284;4,0;17;2,05
"120001 Acrelândia";60;60;37727,87;28290,39;-;-;9437,48;-;-;628,80;628,80;258;4,3;1;1,67
"120005 Assis Brasil";32;32;30189,14;20825,00;-;-;9364,14;-;-;943,41;943,41;152;4,8;3;9,38
"120010 Brasiléia";149;149;66958,12;53192,99;-;-;13765,13;-;-;449,38;449,38;579;3,9;8;5,37
"120013 Bujari";23;23;38156,47;32226,30;-;-;5930,17;-;-;1658,98;1658,98;243;10,6;1;4,35
"120017 Capixaba";37;37;21955,73;14920,35;-;-;7035,38;-;-;593,40;593,40;158;4,3;2;5,41
"120020 Cruzeiro do Sul";345;345;385330,53;312152,04;-;-;73178,49;-;-;1116,90;1116,90;1391;4,0;13;3,77
"120025 Epitaciolândia";91;91;97391,71;73900,98;-;-;23490,73;-;-;1070,24;1070,24;615;6,8;1;1,10
"120030 Feijó";45;45;25799,92;20518,96;-;-;5280,96;-;-;573,33;573,33;221;4,9;1;2,22
"120032 Jordão";13;13;78976,86;62248,33;-;-;16728,53;-;-;6075,14;6075,14;232;17,8;2;15,38
