 Morbidade Hospitalar do SUS - por local de residência - Brasil;;;;;;;;;;;;;;;;
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município;;;;;;;;;;;;;;;;
Período:Abr/2020;;;;;;;;;;;;;;;;
Município;Internações;AIH_aprovadas;Valor_total;Valor_serviços_hospitalares;Val_serv_hosp_-_compl_federal;Val_serv_hosp_-_compl_gestor;Valor_serviços_profissionais;Val_serv_prof_-_compl_federal;Val_serv_prof_-_compl_gestor;Valor_médio_AIH;Valor_médio_intern;Dias_permanência;Média_permanência;Óbitos;Taxa_mortalidade;Data
110110 Itapuã do Oeste;26;26;23706,79;18745,39;-;-;4961,4;-;-;911,8;911,8;150;5,8;1;3,85;
110011 Jaru;231;231;278604,8;227380,28;-;-;51224,52;-;-;1206,08;1206,08;1076;4,7;7;3,03;
110012 Ji-Paraná;513;513;428536,99;338549,84;-;-;89987,15;-;-;835,35;835,35;2124;4,1;20;3,9;
110013 Machadinho D'Oeste;123;123;222502,9;178495,55;-;-;44007,35;-;-;1808,97;1808,97;551;4,5;2;1,63;
110120 Ministro Andreazza;22;22;13910,13;11270,71;-;-;2639,42;-;-;632,28;632,28;126;5,7;-;-;
110130 Mirante da Serra;32;32;55703,65;45056,38;-;-;10647,27;-;-;1740,74;1740,74;227;7,1;4;12,5;
110140 Monte Negro;37;37;33970,53;29036,61;-;-;4933,92;-;-;918,12;918,12;217;5,9;1;2,7;
110014 Nova Brasilândia D'Oeste;60;60;71918,48;58773,11;-;-;13145,37;-;-;1198,64;1198,64;385;6,4;1;1,67;
110033 Nova Mamoré;100;100;81447,37;66253,74;-;-;15193,63;-;-;814,47;814,47;455;4,5;3;3;
110143 Nova União;20;20;14640,52;12362,52;-;-;2278;-;-;732,03;732,03;71;3,5;-;-;
110050 Novo Horizonte do Oeste;40;40;40971,2;31253,93;-;-;9717,27;-;-;1024,28;1024,28;212;5,3;1;2,5;
110015 Ouro Preto do Oeste;50;50;86241,54;68311,56;-;-;17929,98;-;-;1724,83;1724,83;398;8;3;6;
110145 Parecis;18;18;7453,79;5268,44;-;-;2185,35;-;-;414,1;414,1;87;4,8;-;-;
110018 Pimenta Bueno;216;216;162756,16;127276,6;-;-;35479,56;-;-;753,5;753,5;878;4,1;7;3,24;
110146 Pimenteiras do Oeste;18;18;10203,46;7872,2;-;-;2331,26;-;-;566,86;566,86;64;3,6;-;-;
110020 Porto Velho;2109;2109;2931046,04;2363210,73;-;-;567835,31;-;-;1389,78;1389,78;13468;6,4;79;3,75;
110025 Presidente Médici;85;85;86325,07;71011,58;-;-;15313,49;-;-;1015,59;1015,59;393;4,6;8;9,41;
110147 Primavera de Rondônia;4;4;816,42;706,93;-;-;109,49;-;-;204,11;204,11;4;1;-;-;
110026 Rio Crespo;16;16;22140,04;16517,05;-;-;5622,99;-;-;1383,75;1383,75;54;3,4;-;-;
