 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mai/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110148 São Felipe D'Oeste";9;9;3578,40;2919,58;-;-;658,82;-;-;397,60;397,60;32;3,6;-;-
"110149 São Francisco do Guaporé";93;93;49731,82;37193,10;-;-;12538,72;-;-;534,75;534,75;279;3,0;2;2,15
"110032 São Miguel do Guaporé";38;38;73207,41;61606,47;-;-;11600,94;-;-;1926,51;1926,51;218;5,7;3;7,89
"110150 Seringueiras";39;39;44137,57;34504,87;-;-;9632,70;-;-;1131,73;1131,73;154;3,9;3;7,69
"110155 Teixeirópolis";4;4;1920,51;1261,65;-;-;658,86;-;-;480,13;480,13;10;2,5;-;-
"110160 Theobroma";17;17;17980,75;14258,37;-;-;3722,38;-;-;1057,69;1057,69;100;5,9;-;-
"110170 Urupá";26;26;11381,57;9102,91;-;-;2278,66;-;-;437,75;437,75;111;4,3;1;3,85
"110175 Vale do Anari";15;15;27951,48;22611,70;-;-;5339,78;-;-;1863,43;1863,43;67;4,5;-;-
"110180 Vale do Paraíso";8;8;10293,96;7520,15;-;-;2773,81;-;-;1286,74;1286,74;83;10,4;-;-
"110030 Vilhena";660;660;467993,05;363561,13;-;-;104431,92;-;-;709,08;709,08;2381;3,6;30;4,55
"120001 Acrelândia";32;32;27485,83;19501,43;-;-;7984,40;-;-;858,93;858,93;117;3,7;1;3,13
"120005 Assis Brasil";53;53;24793,30;18159,20;-;-;6634,10;-;-;467,80;467,80;145;2,7;3;5,66
"120010 Brasiléia";114;114;70624,49;48154,77;-;-;22469,72;-;-;619,51;619,51;405;3,6;5;4,39
"120013 Bujari";20;20;35070,41;28186,26;-;-;6884,15;-;-;1753,52;1753,52;106;5,3;4;20,00
"120017 Capixaba";25;25;21066,98;13544,99;-;-;7521,99;-;-;842,68;842,68;100;4,0;2;8,00
"120020 Cruzeiro do Sul";377;377;251280,92;191498,77;-;-;59782,15;-;-;666,53;666,53;1585;4,2;9;2,39
"120025 Epitaciolândia";67;67;47497,34;37474,26;-;-;10023,08;-;-;708,92;708,92;337;5,0;3;4,48
"120030 Feijó";48;51;77395,20;62669,95;-;-;14725,25;-;-;1517,55;1612,40;385;8,0;5;10,42
"120032 Jordão";10;10;9897,84;7858,94;-;-;2038,90;-;-;989,78;989,78;54;5,4;1;10,00
"120033 Mâncio Lima";56;56;27896,61;20095,61;-;-;7801,00;-;-;498,15;498,15;186;3,3;1;1,79
"120034 Manoel Urbano";13;13;9181,87;5991,86;-;-;3190,01;-;-;706,30;706,30;68;5,2;-;-
